"address","type","parking_space","area","district_city","nearest_subway_station"
"191014, Сакт-Петербург,  Басков переулок, дом 25","Платная",14,28,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Басков переулок, дом 33","Платная",14,28,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Виленский переулок, дом 9","Платная",15,30,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Виленский переулок, дом 8","Платная",19,38,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Митавский переулок, 1/9","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Сапёрный переулок, дом 21","Платная",16,32,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Сапёрный переулок, 20","Платная",15,30,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Сапёрный переулок, 9","Платная",33,66,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Сапёрный переулок, 10","Платная",34,68,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Гродненский переулок, дом 11","Платная",13,26,"Центральный","Чернышевская"
"191123, Сакт-Петербург,  Гродненский переулок, дом 18","Платная",11,22,"Центральный","Чернышевская"
"191123, Сакт-Петербург,  Гродненский переулок, дом 6","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Артиллерийская улица, дом 1","Платная",34,68,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Артиллерийская улица, дом 4","Платная",14,28,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Рылеева, 1","Платная",22,44,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Литейный округ, улица Рылеева","Платная",11,22,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Рылеева, дом 24","Платная",18,36,"Центральный","Чернышевская"
"191123, Сакт-Петербург,  улица Рылеева, дом 33","Платная",5,10,"Центральный","Чернышевская"
"191123, Сакт-Петербург,  улица Рылеева, дом 21","Платная",29,58,"Центральный","Чернышевская"
"191123, Сакт-Петербург,  улица Рылеева, дом 14","Платная",33,66,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Рылеева, дом 11","Платная",21,42,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  улица Рылеева, дом 2","Платная",30,60,"Центральный","Чернышевская"
"191028, Сакт-Петербург,  Манежный переулок, 2","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Манежный переулок, дом 3","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Манежный переулок, дом 10","Платная",20,40,"Центральный","Чернышевская"
"191123, Сакт-Петербург,  Манежный переулок, дом 14","Платная",37,74,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Манежный переулок, дом 13","Платная",36,72,"Центральный","Чернышевская"
